+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.5570   |
|  epoch 2  |   0.4799   |
|  epoch 3  |   0.4468   |
|  epoch 4  |   0.4200   |
|  epoch 5  |   0.3957   |
|  epoch 6  |   0.3733   |
|  epoch 7  |   0.3533   |
|  epoch 8  |   0.3296   |
|  epoch 9  |   0.3120   |
|  epoch 10 |   0.2907   |
|  epoch 11 |   0.2702   |
|  epoch 12 |   0.2500   |
|  epoch 13 |   0.2334   |
|  epoch 14 |   0.2151   |
|  epoch 15 |   0.2025   |
|  epoch 16 |   0.1896   |
|  epoch 17 |   0.1777   |
|  epoch 18 |   0.1611   |
|  epoch 19 |   0.1449   |
|  epoch 20 |   0.1356   |
|  epoch 21 |   0.1293   |
|  epoch 22 |   0.1186   |
|  epoch 23 |   0.1133   |
|  epoch 24 |   0.1059   |
|  epoch 25 |   0.0970   |
|  epoch 26 |   0.0895   |
|  epoch 27 |   0.0906   |
|  epoch 28 |   0.0819   |
|  epoch 29 |   0.0763   |
|  epoch 30 |   0.0728   |
|  epoch 31 |   0.0787   |
|  epoch 32 |   0.0715   |
|  epoch 33 |   0.0667   |
|  epoch 34 |   0.0635   |
|  epoch 35 |   0.0621   |
|  epoch 36 |   0.0628   |
|  epoch 37 |   0.0531   |
|  epoch 38 |   0.0516   |
|  epoch 39 |   0.0519   |
|  epoch 40 |   0.0537   |
|  epoch 41 |   0.0533   |
|  epoch 42 |   0.0508   |
|  epoch 43 |   0.0490   |
|  epoch 44 |   0.0420   |
|  epoch 45 |   0.0396   |
|  epoch 46 |   0.0470   |
|  epoch 47 |   0.0422   |
|  epoch 48 |   0.0400   |
|  epoch 49 |   0.0394   |
|  epoch 50 |   0.0422   |
|  epoch 51 |   0.0384   |
|  epoch 52 |   0.0342   |
|  epoch 53 |   0.0394   |
|  epoch 54 |   0.0354   |
|  epoch 55 |   0.0388   |
|  epoch 56 |   0.0359   |
|  epoch 57 |   0.0354   |
|  epoch 58 |   0.0315   |
|  epoch 59 |   0.0288   |
|  epoch 60 |   0.0339   |
|  epoch 61 |   0.0290   |
|  epoch 62 |   0.0363   |
|  epoch 63 |   0.0335   |
|  epoch 64 |   0.0328   |
|  epoch 65 |   0.0283   |
|  epoch 66 |   0.0251   |
|  epoch 67 |   0.0277   |
|  epoch 68 |   0.0297   |
|  epoch 69 |   0.0362   |
|  epoch 70 |   0.0314   |
|  epoch 71 |   0.0243   |
|  epoch 72 |   0.0202   |
|  epoch 73 |   0.0235   |
|  epoch 74 |   0.0310   |
|  epoch 75 |   0.0303   |
|  epoch 76 |   0.0234   |
|  epoch 77 |   0.0232   |
|  epoch 78 |   0.0210   |
|  epoch 79 |   0.0259   |
|  epoch 80 |   0.0249   |
|  epoch 81 |   0.0225   |
|  epoch 82 |   0.0228   |
|  epoch 83 |   0.0255   |
|  epoch 84 |   0.0234   |
|  epoch 85 |   0.0218   |
|  epoch 86 |   0.0234   |
|  epoch 87 |   0.0217   |
|  epoch 88 |   0.0176   |
|  epoch 89 |   0.0204   |
|  epoch 90 |   0.0256   |
|  epoch 91 |   0.0228   |
|  epoch 92 |   0.0209   |
|  epoch 93 |   0.0216   |
|  epoch 94 |   0.0181   |
|  epoch 95 |   0.0248   |
|  epoch 96 |   0.0221   |
|  epoch 97 |   0.0173   |
|  epoch 98 |   0.0216   |
|  epoch 99 |   0.0200   |
| epoch 100 |   0.0193   |
| epoch 101 |   0.0192   |
| epoch 102 |   0.0151   |
| epoch 103 |   0.0214   |
| epoch 104 |   0.0186   |
| epoch 105 |   0.0194   |
| epoch 106 |   0.0166   |
| epoch 107 |   0.0173   |
| epoch 108 |   0.0152   |
| epoch 109 |   0.0257   |
| epoch 110 |   0.0207   |
| epoch 111 |   0.0158   |
| epoch 112 |   0.0142   |
| epoch 113 |   0.0185   |
| epoch 114 |   0.0180   |
| epoch 115 |   0.0148   |
| epoch 116 |   0.0177   |
| epoch 117 |   0.0199   |
| epoch 118 |   0.0163   |
| epoch 119 |   0.0165   |
| epoch 120 |   0.0150   |
| epoch 121 |   0.0129   |
| epoch 122 |   0.0161   |
| epoch 123 |   0.0184   |
| epoch 124 |   0.0199   |
| epoch 125 |   0.0195   |
| epoch 126 |   0.0174   |
| epoch 127 |   0.0165   |
| epoch 128 |   0.0256   |
| epoch 129 |   0.0141   |
| epoch 130 |   0.0165   |
| epoch 131 |   0.0141   |
| epoch 132 |   0.0137   |
| epoch 133 |   0.0173   |
| epoch 134 |   0.0171   |
| epoch 135 |   0.0154   |
| epoch 136 |   0.0150   |
| epoch 137 |   0.0144   |
| epoch 138 |   0.0134   |
| epoch 139 |   0.0143   |
| epoch 140 |   0.0126   |
| epoch 141 |   0.0109   |
| epoch 142 |   0.0122   |
| epoch 143 |   0.0122   |
| epoch 144 |   0.0191   |
| epoch 145 |   0.0175   |
| epoch 146 |   0.0112   |
| epoch 147 |   0.0129   |
| epoch 148 |   0.0090   |
| epoch 149 |   0.0096   |
| epoch 150 |   0.0114   |
+-----------+------------+
