dataset,split,model,config,auroc_mean,auroc_std,auprc_mean,auprc_std,auroc_s42,auroc_s52,auroc_s62,auroc_s72,auroc_s82,auprc_s42,auprc_s52,auprc_s62,auprc_s72,auprc_s82,pred_file,true_file,source
biosnap,random,SGBANDTI,full,0.9062,0.0019,0.9132,0.0043,0.9062,0.9090,0.9040,0.9065,0.9052,0.9171,0.9180,0.9093,0.9086,0.9130,stats_input/biosnap_random/SGBANDTI/,stats_input/biosnap_random/SGBANDTI/,stats_input/biosnap_random/SGBANDTI/seed_*_y_pred.npy（逐样本重算）
biosnap,random,DrugBAN,full,0.9100,0.0023,0.9172,0.0031,0.9087,0.9094,0.9078,0.9106,0.9137,0.9152,0.9137,0.9175,0.9181,0.9217,stats_input/biosnap_random/DrugBAN/,stats_input/biosnap_random/DrugBAN/,stats_input/biosnap_random/DrugBAN/seed_*_y_pred.npy（逐样本重算）
bindingdb,random,SGBANDTI,full,0.9620,0.0010,0.9482,0.0017,0.9631,0.9610,0.9617,0.9610,0.9629,0.9488,0.9466,0.9468,0.9478,0.9508,stats_input/bindingdb_random/SGBANDTI/,stats_input/bindingdb_random/SGBANDTI/,stats_input/bindingdb_random/SGBANDTI/seed_*_y_pred.npy（逐样本重算）
bindingdb,random,DrugBAN,full,0.9632,0.0012,0.9516,0.0019,0.9625,0.9619,0.9628,0.9649,0.9638,0.9518,0.9500,0.9512,0.9548,0.9503,stats_input/bindingdb_random/DrugBAN/,stats_input/bindingdb_random/DrugBAN/,stats_input/bindingdb_random/DrugBAN/seed_*_y_pred.npy（逐样本重算）
biosnap,unseen_drug,SGBANDTI,full,0.8794,0.0019,0.8821,0.0026,0.8801,0.8764,0.8813,0.8805,0.8785,0.8820,0.8824,0.8861,0.8803,0.8795,stats_input/biosnap_unseen_drug/SGBANDTI/,stats_input/biosnap_unseen_drug/SGBANDTI/,stats_input/biosnap_unseen_drug/SGBANDTI/seed_*_y_pred.npy（逐样本重算）
biosnap,unseen_drug,DrugBAN,full,0.8750,0.0032,0.8806,0.0052,0.8803,0.8722,0.8729,0.8749,0.8748,0.8874,0.8740,0.8771,0.8820,0.8828,stats_input/biosnap_unseen_drug/DrugBAN/,stats_input/biosnap_unseen_drug/DrugBAN/,stats_input/biosnap_unseen_drug/DrugBAN/seed_*_y_pred.npy（逐样本重算）
biosnap,unseen_target,SGBANDTI,full,0.6345,0.0182,0.6124,0.0212,0.6567,0.6154,0.6461,0.6167,0.6378,0.6282,0.5861,0.6355,0.5953,0.6170,stats_input/biosnap_unseen_target/SGBANDTI/,stats_input/biosnap_unseen_target/SGBANDTI/,stats_input/biosnap_unseen_target/SGBANDTI/seed_*_y_pred.npy（逐样本重算）
biosnap,unseen_target,DrugBAN,full,0.6560,0.0170,0.6333,0.0150,0.6535,0.6817,0.6539,0.6339,0.6570,0.6326,0.6565,0.6324,0.6147,0.6303,stats_input/biosnap_unseen_target/DrugBAN/,stats_input/biosnap_unseen_target/DrugBAN/,stats_input/biosnap_unseen_target/DrugBAN/seed_*_y_pred.npy（逐样本重算）
biosnap,random,SGBANDTI,no_subgraph,0.8757,0.0014,0.8782,0.0034,0.8740,0.8754,0.8752,0.8761,0.8778,0.8794,0.8756,0.8738,0.8809,0.8815,,,results/per_seed/biosnap_random_hop2_no_subgraph/seed_*/result_metrics.pt（本地复现）
biosnap,random,SGBANDTI,no_ban,0.8777,0.0025,0.8759,0.0036,0.8803,0.8783,0.8736,0.8773,0.8789,0.8785,0.8776,0.8697,0.8778,0.8757,,,results/per_seed/biosnap_random_hop2_no_ban/seed_*/result_metrics.pt（本地复现）
biosnap,random,SGBANDTI,no_both,0.8598,0.0028,0.8551,0.0037,0.8581,0.8628,0.8603,0.8619,0.8559,0.8492,0.8553,0.8591,0.8570,0.8549,,,results/per_seed/biosnap_random_hop2_no_both/seed_*/result_metrics.pt（本地复现）
biosnap,random,SGBANDTI,gcn_tokens,0.9051,0.0043,0.9110,0.0068,0.9016,0.9046,0.9066,0.9117,0.9010,0.9027,0.9132,0.9173,0.9171,0.9049,,,results/per_seed/biosnap_random_hop2_gcn_tokens/seed_*/result_metrics.pt（本地复现）
biosnap,random,MGNDTI,full,0.8985,0.0023,0.9046,0.0024,0.8971,0.8977,0.8977,0.8974,0.9026,0.9041,0.9040,0.9028,0.9035,0.9088,results/per_seed/MGNDTI_biosnap/,results/per_seed/MGNDTI_biosnap/,results/per_seed/MGNDTI_biosnap/seed_*/y_pred.npy（逐样本重算）
biosnap,random,MolTrans,full,0.8853,0.0027,0.8918,0.0034,0.8826,0.8887,0.8841,0.8876,0.8834,0.8882,0.8955,0.8897,0.8953,0.8902,results/per_seed/MolTrans_biosnap/,results/per_seed/MolTrans_biosnap/,results/per_seed/MolTrans_biosnap/seed_*/y_pred.npy（逐样本重算）
biosnap,random,TransformerCPI,full,0.8265,0.0174,0.8456,0.0108,0.8012,0.8380,0.8341,0.8162,0.8429,0.8293,0.8499,0.8491,0.8415,0.8579,results/per_seed/TransCPI_biosnap/,results/per_seed/TransCPI_biosnap/,results/per_seed/TransCPI_biosnap/seed_*/y_pred.npy（逐样本重算）
